slug,article_EN,article_PL,article_DE
27_when_single_sourcing_is_smarter_than_running_a_full_supplier_beauty_contest,27_when_single_sourcing_is_smarter_than_running_a_full_supplier_beauty_contest/article_EN.md,27_when_single_sourcing_is_smarter_than_running_a_full_supplier_beauty_contest/article_PL.md,27_when_single_sourcing_is_smarter_than_running_a_full_supplier_beauty_contest/article_DE.md
28_what_internal_red_flags_should_pause_an_automation_buying_process,28_what_internal_red_flags_should_pause_an_automation_buying_process/article_EN.md,28_what_internal_red_flags_should_pause_an_automation_buying_process/article_PL.md,28_what_internal_red_flags_should_pause_an_automation_buying_process/article_DE.md
29_how_to_prepare_your_plant_for_supplier_site_visits_and_discovery_workshops,29_how_to_prepare_your_plant_for_supplier_site_visits_and_discovery_workshops/article_EN.md,29_how_to_prepare_your_plant_for_supplier_site_visits_and_discovery_workshops/article_PL.md,29_how_to_prepare_your_plant_for_supplier_site_visits_and_discovery_workshops/article_DE.md
30_what_a_clean_handoff_from_selection_to_delivery_should_look_like,30_what_a_clean_handoff_from_selection_to_delivery_should_look_like/article_EN.md,30_what_a_clean_handoff_from_selection_to_delivery_should_look_like/article_PL.md,30_what_a_clean_handoff_from_selection_to_delivery_should_look_like/article_DE.md
31_how_to_validate_total_cost_of_ownership_in_automation_projects,31_how_to_validate_total_cost_of_ownership_in_automation_projects/article_EN.md,31_how_to_validate_total_cost_of_ownership_in_automation_projects/article_PL.md,31_how_to_validate_total_cost_of_ownership_in_automation_projects/article_DE.md
32_when_to_reopen_an_automation_decision_before_signing,32_when_to_reopen_an_automation_decision_before_signing/article_EN.md,32_when_to_reopen_an_automation_decision_before_signing/article_PL.md,32_when_to_reopen_an_automation_decision_before_signing/article_DE.md
33_how_to_choose_the_right_internal_owner_for_an_automation_project,33_how_to_choose_the_right_internal_owner_for_an_automation_project/article_EN.md,33_how_to_choose_the_right_internal_owner_for_an_automation_project/article_PL.md,33_how_to_choose_the_right_internal_owner_for_an_automation_project/article_DE.md
34_when_to_run_a_paid_discovery_phase_before_full_automation_award,34_when_to_run_a_paid_discovery_phase_before_full_automation_award/article_EN.md,34_when_to_run_a_paid_discovery_phase_before_full_automation_award/article_PL.md,34_when_to_run_a_paid_discovery_phase_before_full_automation_award/article_DE.md
35_what_change_order_risk_to_check_before_an_automation_project_starts,35_what_change_order_risk_to_check_before_an_automation_project_starts/article_EN.md,35_what_change_order_risk_to_check_before_an_automation_project_starts/article_PL.md,35_what_change_order_risk_to_check_before_an_automation_project_starts/article_DE.md
36_how_to_set_acceptance_criteria_before_automation_delivery_begins,36_how_to_set_acceptance_criteria_before_automation_delivery_begins/article_EN.md,36_how_to_set_acceptance_criteria_before_automation_delivery_begins/article_PL.md,36_how_to_set_acceptance_criteria_before_automation_delivery_begins/article_DE.md
37_when_an_incumbent_supplier_should_not_win_the_next_automation_project,37_when_an_incumbent_supplier_should_not_win_the_next_automation_project/article_EN.md,37_when_an_incumbent_supplier_should_not_win_the_next_automation_project/article_PL.md,37_when_an_incumbent_supplier_should_not_win_the_next_automation_project/article_DE.md
38_how_to_keep_procurement_speed_without_losing_technical_quality,38_how_to_keep_procurement_speed_without_losing_technical_quality/article_EN.md,38_how_to_keep_procurement_speed_without_losing_technical_quality/article_PL.md,38_how_to_keep_procurement_speed_without_losing_technical_quality/article_DE.md
39_what_a_good_internal_business_case_for_automation_should_make_visible,39_what_a_good_internal_business_case_for_automation_should_make_visible/article_EN.md,39_what_a_good_internal_business_case_for_automation_should_make_visible/article_PL.md,39_what_a_good_internal_business_case_for_automation_should_make_visible/article_DE.md
40_how_to_prepare_operations_for_automation_go_live_before_installation_starts,40_how_to_prepare_operations_for_automation_go_live_before_installation_starts/article_EN.md,40_how_to_prepare_operations_for_automation_go_live_before_installation_starts/article_PL.md,40_how_to_prepare_operations_for_automation_go_live_before_installation_starts/article_DE.md
41_when_to_bundle_multiple_automation_needs_into_one_buying_process_and_when_not_to,41_when_to_bundle_multiple_automation_needs_into_one_buying_process_and_when_not_to/article_EN.md,41_when_to_bundle_multiple_automation_needs_into_one_buying_process_and_when_not_to/article_PL.md,41_when_to_bundle_multiple_automation_needs_into_one_buying_process_and_when_not_to/article_DE.md
42_how_to_run_a_final_internal_alignment_review_before_automation_kickoff,42_how_to_run_a_final_internal_alignment_review_before_automation_kickoff/article_EN.md,42_how_to_run_a_final_internal_alignment_review_before_automation_kickoff/article_PL.md,42_how_to_run_a_final_internal_alignment_review_before_automation_kickoff/article_DE.md
43_how_to_decide_if_an_automation_project_is_ready_for_board_approval,43_how_to_decide_if_an_automation_project_is_ready_for_board_approval/article_EN.md,43_how_to_decide_if_an_automation_project_is_ready_for_board_approval/article_PL.md,43_how_to_decide_if_an_automation_project_is_ready_for_board_approval/article_DE.md
44_what_a_board_ready_automation_decision_packet_should_include,44_what_a_board_ready_automation_decision_packet_should_include/article_EN.md,44_what_a_board_ready_automation_decision_packet_should_include/article_PL.md,44_what_a_board_ready_automation_decision_packet_should_include/article_DE.md
45_when_to_freeze_scope_in_an_automation_purchase_and_when_not_to,45_when_to_freeze_scope_in_an_automation_purchase_and_when_not_to/article_EN.md,45_when_to_freeze_scope_in_an_automation_purchase_and_when_not_to/article_PL.md,45_when_to_freeze_scope_in_an_automation_purchase_and_when_not_to/article_DE.md
46_how_to_keep_supplier_clarifications_from_destroying_offer_comparability,46_how_to_keep_supplier_clarifications_from_destroying_offer_comparability/article_EN.md,46_how_to_keep_supplier_clarifications_from_destroying_offer_comparability/article_PL.md,46_how_to_keep_supplier_clarifications_from_destroying_offer_comparability/article_DE.md
47_when_a_manufacturer_needs_a_formal_owner_side_pmo_for_automation_delivery,47_when_a_manufacturer_needs_a_formal_owner_side_pmo_for_automation_delivery/article_EN.md,47_when_a_manufacturer_needs_a_formal_owner_side_pmo_for_automation_delivery/article_PL.md,47_when_a_manufacturer_needs_a_formal_owner_side_pmo_for_automation_delivery/article_DE.md
48_what_a_good_manufacturer_side_mobilization_plan_should_include_after_award,48_what_a_good_manufacturer_side_mobilization_plan_should_include_after_award/article_EN.md,48_what_a_good_manufacturer_side_mobilization_plan_should_include_after_award/article_PL.md,48_what_a_good_manufacturer_side_mobilization_plan_should_include_after_award/article_DE.md
49_how_to_review_automation_project_risk_between_contract_award_and_go_live,49_how_to_review_automation_project_risk_between_contract_award_and_go_live/article_EN.md,49_how_to_review_automation_project_risk_between_contract_award_and_go_live/article_PL.md,49_how_to_review_automation_project_risk_between_contract_award_and_go_live/article_DE.md
50_how_to_turn_automation_buying_into_a_repeatable_decision_system,50_how_to_turn_automation_buying_into_a_repeatable_decision_system/article_EN.md,50_how_to_turn_automation_buying_into_a_repeatable_decision_system/article_PL.md,50_how_to_turn_automation_buying_into_a_repeatable_decision_system/article_DE.md
