area,epic,disposition,description,paths
mywork-chat,E1,EXTEND,"Real, mounted CRUD backend for projects: full router (get/list, create, update, members, finance rollup, steering board, notification settings, AI role, regulatory mode, PMO roles) is `pmo/projects.routes.ts`, wired at `/api/projects` via Gateway.ts:224/755 through `import projectRoutes from './routes/pmo/projects.routes.js'`. Supporting services: ProjectController, projectMemberService, projectFinanceRollupService, projectRoleCanon, projectMembershipIamService are all functional and reusable as Case Core's service layer.",server/src/routes/pmo/projects.routes.ts|server/src/controllers/ProjectController.ts|server/src/services/projectMemberService.ts|server/src/services/projectFinanceRollupService.ts|server/src/services/projectRoleCanon.ts|server/src/services/projectMembershipIamService.ts|server/src/Gateway.ts
mywork-chat,E1,DEPRECATE,"`server/src/routes/projects.routes.ts` is a dead phantom stub (every handler returns `{success:true, data:[]}` / `data:null`) with the identical file name to the real pmo router — it is NOT mounted anywhere (Gateway imports the pmo/ version instead), but its presence risks a future wrong-import regression. Flag for removal, do not build E1 on top of it.",server/src/routes/projects.routes.ts
mywork-chat,E1,EXTEND,"Cross-entity Case scoping already exists per-entity rather than needing to be invented: tasks support `Api.getTasks({projectId})`, decisions carry `project_id` with a `LEFT JOIN projects` in the my-work decisions router, and notebook pages accept an optional `projectId` on both create and list. E1/E7 can filter existing lists by this field instead of adding new scoping plumbing.",server/src/routes/my-work/decisions.routes.ts|server/src/routes/notebook.routes.ts|src/services/api.ts
mywork-chat,E1,KEEP,`currentProjectId` is already threaded globally through the Zustand store (54 files reference it) — including chat-message-by-project persistence in `setCurrentProjectId`. Case Core can reuse this as the active-case pointer rather than introducing a parallel `currentCaseId`.,src/store/slices/projectSlice.ts|src/store/useAppStore.ts
mywork-chat,E1,EXTEND,"`MyProjects.tsx` (route `/projects`, AppView.PROJECTS, ROUTES.PROJECTS in AppRoutes.tsx:1367) is the first real, Triada-canon-compliant screen for this entity — built with StandardModuleBar+StandardTable+StandardPreview (zero bespoke chrome), and its preview panel already pulls project-scoped tasks, effective stakeholders, finance rollup, team members, and program grouping. This is the strongest existing UI substrate for Case Core's list/detail surface.",src/components/MyWork/MyProjects.tsx|src/routes/AppRoutes.tsx
mywork-chat,E7,CREATE,No 'Case Workspace' shell exists (searched for CaseWorkspace/CasesHub/case-scoped My Work variants — zero hits). E7's lightweight Case Workspace container itself must be newly built.,
mywork-chat,E7,DEPRECATE,"`MyWorkHub.tsx` (4727 lines) is the existing org-wide My Work module and is explicitly NOT lightweight: 9 tabs (home/ideas/notebook/inbox/calendar/tasks/decisions/manager/vault/agent), heavy sessionStorage-persisted tab/document restore state, dozens of feature flags, per-tab system prompts. Building E7 by extending this file directly would inherit its bloat and violate the density doctrine; treat it as a pattern reference only, not an extension point.",src/components/MyWork/MyWorkHub.tsx|src/views/MyWorkView.tsx
mywork-chat,E7,ADAPT,"Rather than writing new task/decision/notebook lists for the Case Workspace (which would violate CLAUDE.md's list-canon rule — 'ekrany listowe WYŁĄCZNIE StandardTable/StandardModuleBar'), E7 should add a `projectId` filter prop to the existing My Work sub-view components already used inside MyWorkHub, since the backing APIs already support project scoping (see E1 finding on cross-entity scoping).",src/components/MyWork/MyTasksListContent.tsx|src/components/MyWork/DecisionsPanelContent.tsx|src/components/MyWork/NotebookContent.tsx
mywork-chat,E7,KEEP,"Product-naming risk: three overlapping project/case-related AppViews already exist in the menu space — AppView.PROJECTS ('/projects', stakeholder registry + finance rollup), AppView.PROJECT_INTELLIGENCE ('AI-powered project knowledge capture'), and now a prospective Case Workspace. Confirm with product before shipping E7 to avoid a fourth near-duplicate surface confusing users.",src/types/core.ts
mywork-chat,E8,EXTEND,"`useOpenChatWithContext` is the standardized 'Chat with entity' hook already used for initiative/task/decision/report/idea/assessment/kpi. Adding `entityType: 'project'` (or 'case') plus a `caseId`/`projectId` field on `pmoContext` (mirroring the existing `taskId`/`decisionId` fields) is a small, additive change — no new mechanism needed.",src/hooks/useOpenChatWithContext.ts
mywork-chat,E8,KEEP,"`WorkspaceContext`/`WorkspaceType` already has everything E8 needs without modification: `WorkspaceType` includes `'project'`, and `WorkspaceContext` already carries explicit `projectId`/`projectName` fields alongside `entityId`/`entityData`. Setting `type: 'project'` + `projectId` on an existing `createWorkspaceContext()` call is sufficient — this is the cleanest reuse point in the whole surface.",src/types/workspace.ts
mywork-chat,E8,EXTEND,"`chatNavigator.ts`'s NAVIGATE-action machinery (`TargetModule`, `MODULE_ROUTES`, `MODULE_KEYS`, `ENTITY_TO_DOC_TYPE`) has no case/project entry today — grep confirms no 'projects'/'case' key anywhere in these maps, so Teresa currently cannot deep-link into a Case from a NAVIGATE action. Needs one new `TargetModule` case added to each map.",src/services/chatNavigator.ts
mywork-chat,E8,EXTEND,"The cross-module 'Chat → My Work' deep-link bus (`myWorkIntent`/`myWorkEvent` in uiSlice) is the existing bridge mechanism for Teresa-initiated navigation into a My Work tab/entity, but its `tab` union and `open.type` union don't yet include a case/project variant — small type extension needed to route Teresa into the new Case Workspace tab.",src/store/slices/uiSlice.ts
mywork-chat,E8,EXTEND,"Chat action registry (`CHAT_ACTION_DEFINITIONS`) already defines the exact pattern needed for a `CREATE_PROJECT`/`CREATE_CASE` action (mirrors existing `CREATE_TASK`/`CREATE_DECISION`/`CREATE_INITIATIVE` definitions with required `title` + optional fields) — no such action exists yet; add one definition, no new registry/validation mechanism required.",src/types/domain/chatActions.ts|src/services/chatActionRegistry.ts
mywork-chat,E8,KEEP,"Per-tab system/quick-prompt maps (`TAB_SYSTEM_PROMPTS`, `TAB_QUICK_PROMPTS` in MyWorkHub.tsx) are a reusable, low-effort pattern: once E7's Case Workspace exists as a tab/screen, add one entry to each map for a case-aware Teresa persona — no new prompt-plumbing mechanism needed.",src/components/MyWork/MyWorkHub.tsx
mywork-chat,E8,KEEP,"`useConversationStore` already carries `pmoContext`/`setWorkspaceContext` state consumed end-to-end by the chat UI (ChatOverlay, UnifiedChatPanel) — no new chat state store is needed for Case-scoped conversations, only new context field values.",src/store/useConversationStore.ts
capability-commands,E3,EXTEND,"Strongest existing foundation for a real Capability Registry: server/src/types/toolGovernance.ts (zod-typed ToolCapability: category/riskClass/mutationType/classificationStatus/defaultApprovalMode, ConsumerToolPolicy per consumerClass, ToolInvocationRequest/Trace) + server/src/services/v8/toolGovernanceService.ts (registerTool/classifyTool/setConsumerPolicy/getEffectivePolicy/enforceConsumerPolicy, backed by real tables v8_tool_catalog, v8_consumer_tool_policies, v8_tool_invocation_log, v8_tool_invocation_traces). This is the ONE place in the repo confirmed reachable from BOTH surfaces: human UI reads it via GET /api/v8/ai-core/tools (server/src/routes/v8/ai-core.routes.ts) rendered in src/views/superadmin/components/AI/AICoreRuntimePanel.tsx; the agent path enforces it via server/src/services/v8/agentToolExecutionGovernanceService.ts:authorizeAgentToolExecution -> enforceConsumerPolicy, called from server/src/services/wave8AgentRuntimeService.ts before executeToolCall. Gaps E3 must fix, not rebuild: tool lookup is by free-text `name` string match (not a stable module/command key), there's no module-scoping field, and it currently only gates the Wave8 multi-agent runtime, not the main Teresa chat/plan path (see next finding).",server/src/types/toolGovernance.ts|server/src/services/v8/toolGovernanceService.ts|server/src/services/v8/agentToolExecutionGovernanceService.ts|server/src/services/wave8AgentRuntimeService.ts|server/src/routes/v8/ai-core.routes.ts|src/views/superadmin/components/AI/AICoreRuntimePanel.tsx|src/services/api/v8/ai-core.ts
capability-commands,E3,ADAPT,"The actual live agent-tool dispatcher for the primary Teresa chat/plan flow is server/src/services/ai/toolDefinitions.ts (AI_TOOLS: OpenAI function-calling format array, executeToolCall: flat switch on tool name), called from server/src/services/ai/agentPlannerService.ts, server/src/ai/actionExecutors/playbookExecutor.ts, and wave8AgentRuntimeService.ts. It is NOT gated by toolGovernanceService/v8_tool_catalog at all for the main path — mutation-pause gating instead comes from a separate hardcoded Set in server/src/services/ai/sideEffectTools.ts (SIDE_EFFECT_TOOLS), read by agentPlannerService.createPlan and planBuilderService.buildPlanFromManifest. Two independent, non-cross-referenced governance mechanisms exist for 'is this tool call safe to auto-run': the Set-based one (wired, used in production) and the typed catalog one (wired only for Wave8 agents). E3 should decide which becomes canonical and route/replace the switch-statement dispatcher through the typed registry rather than adding a third.",server/src/services/ai/toolDefinitions.ts|server/src/services/ai/sideEffectTools.ts|server/src/services/ai/agentPlannerService.ts|server/src/services/ai/agentPlan/planBuilderService.ts|server/src/ai/actionExecutors/playbookExecutor.ts
capability-commands,E3,DEPRECATE,"The concrete command 'create a task' / 'create a decision' exists in at least THREE independently-maintained implementations with no shared code: (1) server/src/routes/my-work.routes.ts POST /chat-actions (case 'create_task'/'create_decision') — the human-UI-reachable chat-action bridge, raw column-defensive INSERT; (2) server/src/ai/actionExecutors/taskExecutor.ts (TaskExecutor.execute), used only by the agent path via toolDefinitions.ts:executeCreateTask — its own header comment says it 'mirrors' implementation (1) by hand; (3) server/src/ai/actionProposalEngine.ts:executeProposedAction case 'create_task' — called out in taskExecutor.ts's own comment as the dead-ended, buggy (`datetime('now')`) legacy version. This is the opposite of a shared capability: three hand-synced copies of the same mutation. E3's registry should collapse these into one command definition invoked by both routes/my-work.routes.ts and toolDefinitions.ts.",server/src/routes/my-work.routes.ts|server/src/ai/actionExecutors/taskExecutor.ts|server/src/ai/actionProposalEngine.ts
capability-commands,E3,EXTEND,"server/src/services/cqrs/CommandBus.ts is a small, clean, generic typed Command/CommandHandler bus (Map<constructor.name, handler>, register/execute) — a legitimate reusable primitive for the 'command' half of a capability registry. It is real and used for two flows reachable from human UI REST routes: initiative creation (server/src/services/initiativeService.ts -> commandBus.execute(CreateInitiativeCommand)) and project CRUD (server/src/services/cqrs/project/projectCQRS.ts). It carries zero capability metadata (no risk class, approval mode, or schema validation on the bus itself — validation lives per-command) and is NOT reachable from the agent: the agent-side equivalent (server/src/services/v8/teresaToolOperatorService.ts:proposeInitiativeDraftOperator, called from toolDefinitions.ts) bypasses CommandBus entirely and writes through its own path. Only ~3 commands are registered (server/src/services/cqrs/registry.ts). Reusable as the dispatch primitive if paired with the ToolCapability metadata from toolGovernanceService.",server/src/services/cqrs/CommandBus.ts|server/src/services/cqrs/registry.ts|server/src/services/initiativeService.ts|server/src/services/cqrs/project/projectCQRS.ts|server/src/services/v8/teresaToolOperatorService.ts
capability-commands,E3,KEEP,"server/src/services/ai/toolChainExecutor.ts is a generic DAG/chain executor (steps with dependsOn, requiresApproval gate callback, $step.X variable interpolation, parallel batches) that operates on any injected `(toolName, input) => Promise<result>` executor function — it does not itself define or own a tool list. Per the user's own memory notes it is currently dead (no production callers found by grep here either). It needs no rewrite to serve E3: once a capability-registry dispatcher exists, this can be wired in verbatim as the executor for multi-step native-module command chains instead of writing a new orchestrator.",server/src/services/ai/toolChainExecutor.ts
capability-commands,E3,ADAPT,"server/src/mcp/mcpServer.ts (MCPServer.TOOLS/RESOURCES/PROMPTS, JSON-Schema inputSchema per tool, executeTool switch) is a separate, older MCP-protocol tool surface (consultify.tasks.*, consultify.initiatives.*, consultify.notifications.*, consultify.search) wired through server/src/routes/mcp.routes.ts for EXTERNAL MCP clients (Claude Desktop/Cursor via user-scoped API keys) — i.e. reachable from an external agent, not from Consultify's in-app Teresa agent, and not directly invoked by human UI (humans only configure the connection). It reimplements task/initiative CRUD yet again with raw sqlite-style `?` callback SQL, a FOURTH parallel implementation of the same operations found in finding #3. If E3 builds a real registry, this tool list should be generated from the registry rather than hand-maintained, and its SQL style flagged as inconsistent with the Postgres-parameterized ($1/$2) style used elsewhere (e.g. capabilityService.ts, toolGovernanceService.ts).",server/src/mcp/mcpServer.ts|server/src/routes/mcp.routes.ts
capability-commands,E3,ADAPT,"The Wave 7 governed connector runtime (server/src/services/wave7ConnectorRuntimeService.ts, types Wave7ToolKind = 'read'|'search'|'write'|'destructive', ExecuteWave7ConnectorInput with ACL/freshness/health/project-scoping) is the pattern closest in spirit to what E3 wants for native module commands, even though it targets EXTERNAL connectors, not internal modules. It is reachable from the agent via toolDefinitions.ts AI_TOOLS entries 'list_enterprise_connectors' / 'search_enterprise_connector', and from human UI via connector-management screens/routes (server/src/routes/wave7-connectors.routes.ts, server/src/routes/connectors.routes.ts). Worth copying the typed-kind + ACL + health/freshness shape for native module commands rather than the connector-specific implementation itself.",server/src/services/wave7ConnectorRuntimeService.ts|server/src/routes/wave7-connectors.routes.ts|server/src/routes/connectors.routes.ts
capability-commands,E3,DEPRECATE,"server/src/services/connectorService.ts is confirmed dead by the repo's own inline comment (T7b-3/4 audit, 2026-07-19): the live /api/connectors route uses raw SQL against a different `connectors` table and never touches this service; the DB tables its CRUD methods target (`connectors`/`org_connector_configs`) have no migration anywhere. Do not treat it as reusable connector-adapter infrastructure for E3 despite the name — it is unwired scaffolding kept only for self-consistency, per the file's own header.",server/src/services/connectorService.ts
capability-commands,E3,CREATE,"Naming collision requiring caution for E3 scoping/vocabulary — at least FOUR unrelated things in this codebase are called 'capability'/'tool registry' and must not be confused with the E3 target: (1) server/src/services/capabilityService.ts + server/src/routes/capability.routes.ts + capabilityEffective.routes.ts — consultant/staff SKILL profiles (capabilities, user_capabilities, capability_requirements, capability_assignments tables) for staffing/gap-matching, nothing to do with tools/commands; (2) server/src/services/initiative/initiativeCapabilityMatrix.ts + ini005CapabilityGuard.ts — a role-derived edit-PERMISSION matrix for Initiative records (INI-04, collapsed 4 duplicated permission checks into one canonical function) — a good structural precedent to imitate ('one canonical decision point, many callers') but a different domain; (3) server/src/services/v8/toolGovernanceService.ts's v8_tool_catalog — AI agent function-calling tool governance (see finding #1); (4) server/src/services/v8/toolsOrgAdminService.ts's v8_shared_tools_registry (toolFamily/toolSubtype/catalogVisibility) — this is the catalog of CONSULTING METHODOLOGY tools/frameworks (Discovery Tools like SWOT, Porter's Five Forces; consumed by src/components/Discovery/DiscoveryToolsHub.tsx and GenericToolDocumentView.tsx), an entirely different 'tool' concept from (3) despite both being W7-* decisions and both called 'the shared registry' in their own header comments. E3 needs a distinct, unambiguous name/namespace so a fifth 'capability registry' doesn't get built that collides with these four.",server/src/services/capabilityService.ts|server/src/routes/capability.routes.ts|server/src/routes/capabilityEffective.routes.ts|server/src/services/initiative/initiativeCapabilityMatrix.ts|server/src/services/initiative/ini005CapabilityGuard.ts|server/src/services/v8/toolsOrgAdminService.ts|server/src/types/toolsOrgAdminHardening.ts|src/components/Discovery/DiscoveryToolsHub.tsx
ui-standard-components,E7/E10 (DoD-F/DoD-G) — list/table screens,KEEP,"StandardModuleBar confirmed at src/components/standard/StandardModuleBar.tsx (exported default + named `StandardModuleBar`, props type `StandardModuleBarProps`). It is the ONLY facade for Menu 1/2/3 chrome (breadcrumbs, tabs/pigułki, primary CTA, view-mode switcher, status filters, Menu-3 chips/bulk-bar/open-item tabs). Key props: `breadcrumbs`/`breadcrumbCta`/`breadcrumbExtra` (Menu1), `tabs`/`activeTab`/`onTabChange`/`onSearch`/`primaryCta`/`primaryCtaContent`/`viewModes`/`viewMode`/`filterControls`/`onNewItem`/`categoryButtons`/`statusFilters`/`statusDropdownContext` (Menu2), `chips`/`activeChip`/`bulk`/`openItems`/`activeItemId`/`menu3Right`/`activeFilters`/`commandRowContent` escape hatch (Menu3). It delegates internally to `ModuleNavBar` — modules must NOT build their own chrome; compose via these declarative props only. Optional `children` prop makes it also own the full page layout (flex-col + scroll area), 1:1 with legacy `ModuleHub`.",
ui-standard-components,E7/E10 (DoD-F/DoD-G) — list/table screens,KEEP,"StandardTable confirmed at src/components/standard/StandardTable.tsx (exported default + named `StandardTable`, props type `StandardTableProps`). Wraps canonical `FilterableTable` and enforces the 9 MUSTs (sticky sortable header w/ column filters, hairline row separators, row-description toggle, mandatory Settings2 column popover, zero-sum resize with persistKey, 3-zone kebab via `rowMenu`/`rowActions`, left-side row selection driving Menu3 bulk mode, contextual bulk actions, empty/loading/error states). Key props: `columns`, `data`, `surfaceId` (binds to `TABLE_SURFACE_REGISTER` contract for persistKey/selection/required-columns enforcement), `rowMenu`/`rowActions`, `selection: {selectedIds, onChange}`, `activeFilters`/`onFilterChange`, `persistKey`, `loading`/`error`/`onRetry`/`empty`/`emptyMessage`. Modules declare content; component owns all table chrome — no bespoke grids allowed (per CLAUDE.md rule #9 / check-list-canon.sh).",
ui-standard-components,E7/E10 (DoD-F/DoD-G) — list/table screens,KEEP,"StandardPreview confirmed at src/components/standard/StandardPreview.tsx (exported default + named `StandardPreview`, props type `StandardPreviewProps`). Enforces the fixed 6-block preview order: (1) header w/ pin+Open+close via `PreviewPaneShell`, (2) meta chip card (`meta: StandardPreviewMeta` — pills/trailing/recommendation), (3) Details section w/ ⋮ Copy/Export/Download kebab and optional `properties` key-value table (renders via `ArtifactPropertiesTable`), (4) optional AI hint strip (`ai` prop), (5) mandatory Relations block (always rendered, empty-state included), (6) actions grid (`actions: {resolutions, informational, time}` rendered through `PreviewActionButton`, with `orderPreviewActionRows` forcing destructive actions to always land last regardless of which row the caller put them in). Optional `whatsNext` block for conversion chips. Helper `standardPreviewShortcuts(actions)` wires keyboard shortcuts.",
ui-standard-components,E7/E10 (DoD-F/DoD-G) — artifact screens (SPEC-A),KEEP,"ArtifactRightPanel confirmed at src/components/standard/ArtifactRightPanel.tsx (exported default + named `ArtifactRightPanel`, props type `ArtifactRightPanelProps`). This is the shared right-panel accordion shell for all 5 SPEC-A archetypes (Canvas/Document/Record/Matrix/Deck) per ARTIFACT_ANATOMY_STANDARD.md §10.2/§11.2. Canonical section order is fixed by `ARTIFACT_PANEL_SECTION_ORDER = ['actions','properties','relations','evidence','results','comments','history']` — modules may omit sections but cannot reorder present ones. Props: `sections: ArtifactRightPanelSection[]` (id/label/icon/children/collapsible/defaultOpen/badge/isEmpty/emptyLabel), `width` (defaults to `--ntype-right-panel-width` token, 320px), `statusBar` (optional slot above sections e.g. `ArtifactApprovalStatusBar`), `className`, `ariaLabel`. Two card-class variants exported for sticky vs docked layout contexts (`ARTIFACT_PANEL_CARD_CLASS_STICKY` / `_DOCKED`). Component owns rendering (header h-11 uppercase L1 + chevron, borders, collapse behavior) — modules supply content only via `shared/PreviewPane/*` primitives inside `children`.",
ui-standard-components,E7/E10 (DoD-F/DoD-G) — artifact screens (SPEC-A),KEEP,"StandardArtifactShell (the SPEC-A composed artifact shell, not a separate primitive) confirmed at src/components/standard/StandardArtifactShell.tsx (generic function `StandardArtifactShell<const S>`, props type `StandardArtifactShellProps<S>` in ./StandardArtifactShell.types.ts). It is a thin, TYPED wrapper over `NModeShell` (src/components/shared/NModeLayout/NModeShell) that composes `ArtifactRightPanel` internally — it does not reimplement it. Key props: `karta`/`klasa` (card key/class S-or-L), `header: NModeHeaderConfig`, `primaryAction` (typed slot requiring either a config or explicit `{intentionallyNone:true, reason}`), `sections: StandardSekcjaDef[]` (left-column, aiContract required per section), `rightPanel: RightPanelSections` (keyed by the same canonical id order, each slot either content or explicit `{pominieta:true, reason}`), `properties`/`propertiesMaxColumns`, `headerActions`/`headerActionsVisible`, `aiContextActions`/`toolAIActions`, `toolbar` (mutually exclusive with headerActions per §2.4), `panelWidth`/`panelStatusBar`/`panelAriaLabel`, `buildArtifactCode`, `loading`. In dev it runs `walidujKontrakt(...)` to warn (not throw) on SPEC-N violations: reserved right-panel-only ids used in left column, duplicate section ids, class-S section-count limit, missing/unjustified AI-contract exclusions, unjustified missing primary, unjustified skipped panel sections, missing evidence section for AI-authored cards (insight/initiative), duplicate action ids across header/panel/toolbar, and toolbar+headerActions conflict. For E7/E10 work: compose through this shell (or directly through ArtifactRightPanel if not using NModeShell), passing content via its typed slots — do not rebuild the accordion or header chrome.",
migrations-flags-outbox,E13,EXTEND,"server/scripts/migrate.postgres.ts is the canonical Postgres migration runner. Naming convention: NNN_description.sql (3-digit zero-padded, historical producers 000-945) or YYYYMMDD_description.sql / YYYY-MM-DD_description.sql (dated, chronological, added after the numbered series froze). Runner sorts deterministically in 4 phases (Phase0 numbered by version, Phase1 dated by calendar date, Phase2 an explicit LATE_PHASE_MANIFEST allowlist, Phase3 everything else) NOT by raw filename string sort, because '2026...' < '300_...' lexicographically breaks producer/consumer ordering. It also carries a PROMOTED_LEGACY_PRODUCERS allowlist and an EARLY_VERSION_OVERRIDES map, both hand-maintained per-file with inline justification comments. --safe records a failing migration as status='skipped' and continues (exit 0) - documented root cause of missing tables on demo. db:migrate/db:migrate:strict run WITHOUT --safe (fail-closed); db:migrate:unsafe-continue passes --safe despite the name implying otherwise. Idempotent via schema_migrations(filename PK, checksum, status) + ON CONFLICT DO UPDATE. E13 should EXTEND this runner rather than build a new one, and verify pending state with preflight-pending-migrations.ts (checksum-drift aware) rather than --dry-run, which has produced false results before.",server/scripts/migrate.postgres.ts|server/migrations|package.json
