requirement_id,route,command_or_query,authorization_predicate,canonical_object_id_field,event_audit_record,test_ref,evidence_ref,candidate_sha,status,epic,kind,matched_coverage_row_ids,note,row_id,supersedes_row_id
DERIVED,PENDING_STREAM_B,casePlanVersionService.computeValidationBlockers,NONE-INTERNAL-ONLY,n/a (pure fn over CanonicalGraph),NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,query,,"no DB access; not listed in file's own req_id coverage header NONE justified: pure in-process computation over its arguments/read rows - no INSERT/UPDATE/DELETE, no status transition, no outbound call; verified zero write statements and zero publishEvent calls in the function body.",TRAR-012,
CW-01-010;CW-RT-016;CW-RT-017;CW-RT-043;CW-GR-024,POST /api/v8/case-workspace/cases/:caseId/plan-versions,casePlanVersionService.createPlanDraft,requireCaseAccess,case_plan_version_id (new; keyed by case_id),case.plan.draft_created (case_workspace_event_outbox) [casePlanVersionService.ts:860],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E2,command,CW-01-010;CW-01-010-U1;CW-RT-016;CW-RT-017;CW-RT-017-U1;CW-RT-043;CW-GR-024,,TRAR-013,
CW-01-010;CW-GR-025;CW-RT-043;CW-RT-044;CW-RT-061;CW-GR-044,PUT /api/v8/case-workspace/plan-versions/:planVersionId,casePlanVersionService.updatePlanDraft,requireCaseAccess,case_plan_version_id,case.plan.draft_updated (case_workspace_event_outbox) [casePlanVersionService.ts:925],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E2,command,CW-01-010;CW-01-010-U1;CW-GR-025;CW-RT-043;CW-RT-044;CW-RT-044-U1;CW-RT-061;CW-GR-044,OCC via version column,TRAR-014,
CW-RT-016;CW-GR-024,GET /api/v8/case-workspace/plan-versions/:planVersionId,casePlanVersionService.getPlanVersion,requireCaseAccess,case_plan_version_id,NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,query,CW-RT-016;CW-GR-024,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-015,
CW-RT-016;CW-RT-017,GET /api/v8/case-workspace/cases/:caseId/plan-versions,casePlanVersionService.listPlanVersionsForCase,requireCaseAccess,case_id,NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,PARTIAL,E2,query,CW-RT-016;CW-RT-017;CW-RT-017-U1,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-016,
CW-GR-012;CW-GR-036;CW-GR-024;CW-GR-047,GET /api/v8/case-workspace/plan-versions/:planVersionId/validate,casePlanVersionService.validatePlanVersion,requireCaseAccess,case_plan_version_id,NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,query,CW-GR-012;CW-GR-036;CW-GR-024;CW-GR-047,"only LOCAL_STRUCTURAL checklist subset; EXTERNAL_DEPENDENT reported DEFERRED_EXTERNAL NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-017,
CW-RT-030;CW-RT-031;CW-RT-043;CW-GR-024,POST /api/v8/case-workspace/plan-versions/:planVersionId/propose,casePlanVersionService.proposePlanVersion,requireCaseAccess,case_plan_version_id,case.plan.proposed (case_workspace_event_outbox) [casePlanVersionService.ts:1046],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,command,CW-RT-030;CW-RT-031;CW-RT-043;CW-GR-024,,TRAR-018,
CW-RT-030;CW-RT-031,POST /api/v8/case-workspace/plan-versions/:planVersionId/request-changes,casePlanVersionService.requestChangesOnPlanVersion,requireCaseAccess,case_plan_version_id,case.plan.changes_requested (case_workspace_event_outbox) [casePlanVersionService.ts:1114],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,command,CW-RT-030;CW-RT-031,"command/route name not in canon, by-analogy naming",TRAR-019,
CW-00-020-INV5;CW-01-011;CW-RT-017;CW-RT-029;CW-RT-030;CW-RT-043;CW-GR-024;CW-GR-036;CW-GR-044;CW-CANON-06;CW-DOD-B3;CW-DOD-B4,POST /api/v8/case-workspace/plan-versions/:planVersionId/publish,casePlanVersionService.publishPlanVersion,requireCaseAccess,case_plan_version_id,case.plan.published + case.plan.superseded (case_workspace_event_outbox) [TWO events in one transaction: casePlanVersionService.ts:1219 and :1241 (superseded carries causationId = published eventId)],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 2 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E2,command,CW-00-020-INV5;CW-00-020-INV5-U1;CW-01-011;CW-01-011-U1;CW-01-011-U2;CW-RT-017;CW-RT-017-U1;CW-RT-029;CW-RT-029-U1;CW-RT-030;CW-RT-043;CW-GR-024;CW-GR-036;CW-GR-044;CW-CANON-06;CW-DOD-B3;CW-DOD-B4,"no publisher-standing check (GOV-030 gap, flagged in caseWorkspaceAuthContext.ts retrofit note #4)",TRAR-020,
CW-RT-030;CW-RT-031,POST /api/v8/case-workspace/plan-versions/:planVersionId/withdraw,casePlanVersionService.withdrawPlanVersion,requireCaseAccess,case_plan_version_id,case.plan.withdrawn (case_workspace_event_outbox) [casePlanVersionService.ts:1306],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,command,CW-RT-030;CW-RT-031,"command/route name not in canon, by-analogy naming",TRAR-021,
CW-GR-024;CW-GR-001,GET /api/v8/case-workspace/plan-versions/:planVersionId/graph,casePlanVersionService.getGraph,requireCaseAccess (via getPlanVersion),case_plan_version_id,NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,query,CW-GR-024;CW-GR-001,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-022,
CW-RT-017;CW-GR-024;CW-DOD-B3,GET /api/v8/case-workspace/cases/:caseId/plan-versions/:planVersionId/diff,casePlanVersionService.diffPlanVersions,requireCaseAccess,case_plan_version_id (pair: from/to),NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,PARTIAL,E2,query,CW-RT-017;CW-RT-017-U1;CW-GR-024;CW-DOD-B3,"assumes ID-stable authoring, flagged limitation NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-023,
CW-GR-005;CW-GR-024;CW-02-016,GET /api/v8/case-workspace/plan-versions/:planVersionId/view-state/:viewType,casePlanVersionService.getViewState,requireCaseAccess,case_plan_version_id,NONE,PENDING,"casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,query,CW-GR-005;CW-GR-024;CW-02-016,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-024,
CW-GR-005;CW-GR-025;CW-GR-045;CW-02-016,PUT /api/v8/case-workspace/plan-versions/:planVersionId/view-state/:viewType,casePlanVersionService.putViewState,requireCaseAccess,case_plan_version_id,case.plan.view_state_updated (case_workspace_event_outbox) [casePlanVersionService.ts:1489; aggregateVersion null (case_plan_view_state has no version column)],"server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","casePlanVersionService.ts|server/migrations/20260809_case_workspace_case_plan_version.sql|server/src/services/caseWorkspace/__tests__/casePlanVersionService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E2,command,CW-GR-005;CW-GR-025;CW-GR-045;CW-02-016,"last-write-wins, no OCC (accepted design decision)",TRAR-025,
DERIVED,PENDING_STREAM_B,capabilityRegistryService.computeRequestDigest,NONE-INTERNAL-ONLY,"n/a (pure fn, sha256 of payload)",NONE,PENDING,"capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E3,query,,"no DB access; not listed in file's own req_id coverage header NONE justified: pure in-process computation over its arguments/read rows - no INSERT/UPDATE/DELETE, no status transition, no outbound call; verified zero write statements and zero publishEvent calls in the function body.",TRAR-026,
CW-GR-015;CW-GR-020;CW-DOD-C1;CW-GR-029;MIG-016,POST /api/v8/case-workspace/capabilities,capabilityRegistryService.registerCapability,requireOrgRole(ADMIN),capability_registry_id (new),capability.registered (case_workspace_event_outbox) [capabilityRegistryService.ts:559; organizationId from callerOrganizationId (registry is platform-global)],"server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E3,command,CW-GR-015;CW-GR-015-U1;CW-GR-020;CW-GR-020-U1;CW-DOD-C1;CW-GR-029;MIG-016,"platform-global, no org_id/case_id column",TRAR-027,
CW-GR-029;CW-GR-046,GET /api/v8/case-workspace/capabilities/:capabilityId/versions/:capabilityVersion,capabilityRegistryService.getCapabilityVersion,requireOrgMember,capability_registry_id,NONE,PENDING,"capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E3,query,CW-GR-029;CW-GR-046,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-028,
CW-GR-029,GET /api/v8/case-workspace/capabilities/by-id/:capabilityRegistryId,capabilityRegistryService.getCapabilityByRegistryId,requireOrgMember,capability_registry_id,NONE,PENDING,"capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,NOT_IMPLEMENTED,E3,query,CW-GR-029,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-029,
CW-GR-029;CW-GR-030,GET /api/v8/case-workspace/capabilities,capabilityRegistryService.listCapabilities,requireOrgMember,"n/a (filter query, no single object id)",NONE,PENDING,"capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E3,query,CW-GR-029;CW-GR-030;CW-GR-030-U1,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-030,
CW-GR-016;CW-GR-046;MIG-016,GET /api/v8/case-workspace/capabilities/active,capabilityRegistryService.listActiveCapabilities,requireOrgMember (via listCapabilities),"n/a (filter query, no single object id)",NONE,PENDING,"capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)",PENDING-CANDIDATE-SHA,PARTIAL,E3,query,CW-GR-016;CW-GR-016-U1;CW-GR-046;MIG-016,"NONE justified: read-only SELECT path - no INSERT/UPDATE/DELETE, no FOR UPDATE lock, no status transition and no external effect, so it produces no fact for a projection to consume; verified zero write statements and zero publishEvent calls in the function body.",TRAR-031,
CW-GR-015;CW-GR-016;CW-GR-047,POST /api/v8/case-workspace/capabilities/by-id/:capabilityRegistryId/health,capabilityRegistryService.markCapabilityHealth,requireOrgRole(ADMIN),capability_registry_id,capability.health_changed (case_workspace_event_outbox) [capabilityRegistryService.ts:763; organizationId from callerOrganizationId],"server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (realDB outbox assertion, all 1 branch(es) asserted)","capabilityRegistryService.ts|server/migrations/20260809_case_workspace_capability_registry.sql|server/src/services/caseWorkspace/__tests__/capabilityRegistryService.pg.test.ts (existing functional test, row-level coverage not verified by Stream E)|server/src/services/caseWorkspace/eventOutboxService.ts|server/migrations/20260810_case_workspace_event_outbox.sql|docs/product/case-workspace/acceptance/EVENT_TAXONOMY.md",PENDING-CANDIDATE-SHA,IMPLEMENTED_AND_PROVEN,E3,command,CW-GR-015;CW-GR-015-U1;CW-GR-016;CW-GR-016-U1;CW-GR-047,OCC via version column,TRAR-032,
