file,line,snippet,classification,reason,follow_up_action_id_or_blank
src/components/MyWork/DecisionDetailView.tsx,6049,"() => removeAlternativePro(alt.id, idx)",b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,6085,"() => addAlternativePro(alt.id, arg)",b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,6116,"() => removeAlternativeCon(alt.id, idx)",b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,6152,"() => addAlternativeCon(alt.id, arg)",b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8826,() => handleDeleteAttachment(a.id),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8848,"() => handleAddLinkedItem({ id: Math.random().toString(36).substr(2, 9), type: 'task', tit…",b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8913,() => handleRemoveLinkedItem(item),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8945,handleApprove,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8953,handleReject,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/DecisionDetailView.tsx,8960,handleRequestMoreInfo,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusBoard.tsx,570,handleAISuggestion,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusBoard.tsx,658,handleAISuggestion,b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusView.tsx,390,(e) => { e.stopPropagation(); onComplete(item); },b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusView.tsx,491,(e) => { e.stopPropagation(); onComplete(item); },b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusView.tsx,501,(e) => { e.stopPropagation(); onRemove(item); },b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusView.tsx,1876,() => handleComplete(selectedItem),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/Focus/FocusView.tsx,1911,() => handleRemoveFromFocus(selectedItem),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/FocusCockpit.tsx,260,() => onCreateTask(lane),b,"[out-of-domain] File belongs to a MyWork feature outside the four Idea Workspace representations (mindmap/whiteboard/process_flow/table) that IDEA_ACTION_REGISTRY governs (E02 scope is toolbar/rail/inspector/PPM/keyboard/Teresa parity for those 4 tools only). Verified: zero matches for this file/feature in src/actions/ideaActionRegistry.ts, and the component is mounted only by Decision/Task/Notification/Focus/Inbox/Notebook/Program screens (checked via grep of importers), never by mindmap/whiteboard/processflow/table.",
src/components/MyWork/IdeaAINudgeStrip.tsx,287,() => setDismissed((prev) => new Set(prev).add(nudge.id)),b,"[intentional-non-command] setDismissed((prev) => new Set(prev).add(nudge.id)) -- purely local dismiss of an AI nudge card (hides it from view), no persistence call. Same class as 'closing a popover'.",
src/components/MyWork/IdeaAISuggestionsPanel.tsx,532,() => handleSendToChat(sug.text),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaAISuggestionsPanel.tsx,540,() => handleInsert(sug),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaAISuggestionsPanel.tsx,593,() => onSendToChat(),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaContextPanel.tsx,1256,() => handleInsert(item),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaConvertMenu.tsx,97,() => { if (isSoon) return; setOpen(false); onConvert(target); },a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaExportMenu.tsx,838,() => handleExport(format.id),resolved,"[real-defect] Registry idea.export.open (ideaActionRegistry.ts ~L2913-2935) covers ONLY opening the export menu (mutates:false, dispatches open_export_menu). The actual per-format export click (handleExport -> recordExportRequest + real file generation) has no registry id of its own -- unlike the table.row.edit/mm_comments precedents, the idea.export.open comment does not say the interior action is deliberately excluded, and export is a real, distinct, file-producing command.",idea.export.file
src/components/MyWork/IdeaExportMenu.tsx,1045,() => { setExportError(null); exportJSON(); },resolved,[real-defect] Same gap as handleExport (line 838): exportJSON is a real per-format export action with no registry id; idea.export.open only covers opening the menu.,idea.export.file
src/components/MyWork/IdeaNodeDetailDrawer.tsx,889,() => handleRemoveTag(tag),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaNodeDetailDrawer.tsx,1044,() => handleRemoveAttachment(att.id),a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaProcessFlowTool.tsx,3458,() => addNode(flowMode === 'vsm' ? 'vsm_process' : 'start'),resolved,"[duplicate-surface] Empty-state 'add first step' CTA calls the same local addNode(shape) function that registered action idea.element.add (runtime pf_add_step, ideaActionRegistry.ts ~L2692-2724) already reaches via useProcessFlowQuickActions.ts:158 handlers.addNode(...) (comment there names IdeaProcessFlowTool.addNode explicitly as the same function). [correction 2026-08-10] Originally suggested reuse target idea.element.add was DECLINED after verification: pf_add_step (idea.element.add's runtime for Process Flow) hardcodes shape 'action', while this CTA adds a 'start' node (or 'vsm_process' in VSM mode) -- a genuine shape mismatch, not a false negative. Wired to the new, purpose-built idea.view.pf_add_start instead.",idea.view.pf_add_start
src/components/MyWork/IdeaProposalReview.tsx,123,"() => { onRejectAll(); trackFunnelEvent('ideas_proposal_rejected', { tool: batch.tool, gen…",a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaRecommendationMap.tsx,6880,"(type) => { pushUndo(); setStructureType(type); const laid = applyStructureLayout(type, no…",resolved,"[real-defect] 'GAP-3: Map structure type' (source comments at L2883 and L6870 use that exact label). onSelect on StructurePickerPopover: pushUndo() + setStructureType + applyStructureLayout + setNodes -- a real, mutating, user-visible command (choose a Mind Map structure layout) with NO registry id anywhere (grep for structure_type/StructureType/StructurePicker in ideaActionRegistry.ts is empty). Its sibling command 'Auto-layout' IS registered as idea.view.auto_layout, showing the program already treats this class of action as registry-worthy.",idea.view.mm_structure_type (NOTE: not export/template despite task grouping -- neither produces a file nor a persistent record per canon ch.10 S1; sibling of idea.view.auto_layout)
src/components/MyWork/IdeaRecommendationMap.tsx,7123,() => { for (const pending of pendingInteractionsRef.current.values()) { window.clearTimeo…,b,"[intentional-non-command] Clears a dev-only debug entry log (debugEntriesRef, sessionStorage __mm_debug_v2) -- a developer-facing debug panel, not a product command visible to end users in normal operation.",
src/components/MyWork/IdeaScenesManager.tsx,153,() => { setExpanded(true); handleAddScene(); },a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaScenesManager.tsx,255,"(e) => { e.stopPropagation(); handleMoveScene(scene.id, 'up'); }",a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaScenesManager.tsx,266,"(e) => { e.stopPropagation(); handleMoveScene(scene.id, 'down'); }",a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaScenesManager.tsx,289,(e) => { e.stopPropagation(); handleDeleteScene(scene.id); },a,"[heuristic-false-negative] Callback prop forwarded from the leaf component to its owner (multi-line destructuring at the component signature, or a locally-named thin wrapper whose entire body is a single call to such a prop, individually confirmed by reading the function body). Same class the awk heuristic's Pass A2 already excludes for single-line destructuring -- the real mutation, if any, lives where the prop is bound by the parent, out of this file's scope by design.",
src/components/MyWork/IdeaTableTool.tsx,2500,() => applyView(v),resolved,"[duplicate-surface] Calls the same applyView(v) function that registered action idea.view.table_apply_view already covers from TableToolbar.tsx's view-tab onClick (ideaActionRegistry.ts ~L3787-3803, source line cites 'applyView(v)' verbatim). This is a second onClick in IdeaTableTool.tsx itself calling the identical function directly. [confirmed 2026-08-10] Genuine reuse verified: TableToolbar.tsx's platform-mode toolbar already routed through idea.view.table_apply_view for the identical applyView(v) call -- this legacy (!usePlatform) toolbar now wires the same call site through the same id via runTblLegacyToolbarAction.",idea.view.table_apply_view
src/components/MyWork/IdeaTableTool.tsx,2566,"() => { saveCurrentView(saveViewName.trim(), columns); setShowSaveViewDialog(false); }",resolved,[duplicate-surface] Calls the same saveCurrentView(...) function that registered action idea.view.table_save_view already covers from TableToolbar.tsx's 'Save view' dialog (ideaActionRegistry.ts ~L3806-3823). [confirmed 2026-08-10] Genuine reuse verified: TableToolbar.tsx's platform-mode toolbar already routed through idea.view.table_save_view for the identical saveCurrentView call -- this legacy (!usePlatform) toolbar now wires the same call site through the same id via runTblLegacyToolbarAction.,idea.view.table_save_view
src/components/MyWork/IdeaTableTool.tsx,3372,"() => { const csv = exportToCSV(_cols, effectiveNodes); downloadCSV(csv, `idea-${ideaId}.c…",resolved,"CLOSED 2026-08-10 (this session): wired via runTblLegacyToolbarAction('idea.export.table_csv', ...) at the same call site (IdeaTableTool.tsx, legacy !guidedBar inline toolbar). UI click still runs the original exportToCSV+downloadCSV body unchanged (ctx.source==='ui' + params.run path in runToolbarBusAction); Teresa path already existed via tbl_export_csv on useTableQuickActions.ts.",idea.export.table_csv
src/components/MyWork/IdeaTableTool.tsx,3382,"() => { copyTableToClipboard(_cols, effectiveNodes); toast.success(t('ideas.table.copied',…",resolved,"CLOSED 2026-08-10 (this session): wired via runTblLegacyToolbarAction('idea.table.copy_clipboard', ...) at the same call site. UI click still runs the original copyTableToClipboard+toast body unchanged; Teresa path already existed via tbl_copy_clipboard on useTableQuickActions.ts.",idea.table.copy_clipboard
src/components/MyWork/IdeaTableTool.tsx,3491,() => handleBulkConvert(bulkTarget),resolved,"[duplicate-surface] Calls the same handleBulkConvert(target) function that registered action idea.workspace.table_bulk_convert (ideaActionRegistry.ts ~L3939-3958) already covers via TableToolbar.tsx bulk-actions 'Convert' -> props.onBulkConvert -> handleBulkConvert. This is a second, internal call site inside IdeaTableTool.tsx calling the function directly (registry comment at this id even flags a pre-existing platform-mode bug in this same function). [confirmed 2026-08-10] Genuine reuse verified: TableToolbar.tsx's platform-mode toolbar already routed through idea.workspace.table_bulk_convert for the identical handleBulkConvert(bulkTarget) call -- this legacy (!usePlatform) toolbar now wires the same call site through the same id via runTblLegacyToolbarAction.",idea.workspace.table_bulk_convert
src/components/MyWork/IdeaTemplateGallery.tsx,2206,() => handleApply(template),resolved,"CLOSED 2026-08-10 (this session): confirmed both template-apply buttons call the SAME handleApply function with withAIFill as a second argument, not two distinct commands (L-06 evidence: identical confirm-before-overwrite gate, identical applyIdeaTemplate call). Wired via new runTemplateApplyAction(template, false) which calls runIdeaAction('idea.template.apply', ctx) with params.run=handleApply(template,false); IdeaTemplateGallery.tsx now imports the registry (the mirror-image of the registry's existing exception importing findIdeaTemplate from this file; safe circular reference, both sides only call the import inside runtime closures, never at module-eval time).",idea.template.apply
src/components/MyWork/IdeaTemplateGallery.tsx,2217,"() => handleApply(template, true)",resolved,"CLOSED 2026-08-10 (this session): same command as line 2206 (withAIFill=true is a parameter, not a second command -- see row above). Wired via runTemplateApplyAction(template, true), same id idea.template.apply, params.withAIFill=true.",idea.template.apply
