backlog_id,module,surface_id,severity,category,current_state,expected_state,evidence_path,contract_reference,runtime_status,recommended_action,dependency,acceptance_criteria,owner_packet,status
M16-R2-001,M16,resources,P1,schema,"Compatibility read now prevents silent empty but demo lacks the full partner_resources columns","Full capability with canonical resource schema","tests/integration/partners/m16-final-repair.realdb.test.ts","M16 Partner Resources","DEGRADED_SCHEMA","Apply reviewed resource schema through the governed migration path","PLAT-R2-001","Capability reports FULL and 15 active resources render",m16-partner,OPEN
M16-R2-002,M16,client-attributions,P1,data-correctness,"Demo attributions are orphaned; UI now shows an honest unresolved state rather than UUID or fabricated Organization","Every attribution resolves to a tenant-valid organization name","tests/integration/partners/m16-final-repair.realdb.test.ts","M16 Partner Clients","DEGRADED_DATA","Repair demo seed and add referential validation for new attributions","governed demo data packet","Zero cross-tenant leakage and zero unresolved demo clients",m16-partner,OPEN
M16-R2-003,M16,earnings-ledger,P1,money-correctness,"UI reconciles paid total from completed payouts and exposes ledger divergence; historical ledger entries remain incomplete","Ledger and settled payout register reconcile to one authoritative total","tests/integration/partners/m16-final-repair.realdb.test.ts","M16 Partner Earnings","DEGRADED_DATA","Backfill governed payout.reconciled entries after product owner confirms authority","product decision plus governed data packet","Ledger paid total equals completed payout total",m16-partner,OPEN
M16-R2-004,M16,external-links,P1,security-adjacent,"Referral identity default is fixed but other server defaults still reference app.consultify.com","One resolved canonical app base URL helper","server/src/services/partnerReferralService.ts","Cross-module link integrity","PARTIAL","Centralize remaining defaults and verify email billing and branding links","owning modules","No runtime default points to an unresolved host",cross-module-links,OPEN
M16-R2-005,M16,demo-data,P2,data-hygiene,"QA-labelled partner organizations campaigns and ledger notes remain visible","Presentable deterministic demo partner dataset","M16 discovery evidence recorded 2026-08-05","Round 2 demo hardening","DEGRADED_DATA","Use a governed cleanup and reseed packet","cleanup approval","Demo contains no QA residue and golden flows still pass",m16-partner,OPEN
M16-R2-006,M16,locale,P2,i18n,"Partner screens still mix Polish and English literals","All reachable partner strings follow selected locale","public/locales/en/translation.json; public/locales/pl/translation.json","Complete MVP visual locale","PARTIAL","Move remaining literals to i18n and run locale sweep","none","PL and EN screenshots have no mixed-language product strings",m16-partner,OPEN
M16-R2-007,M16,visual-canon,P2,ui-canon,"Crimson decorative chrome remains across acquisition and analytics surfaces","Crimson is reserved for critical semantics","M16 visual discovery 2026-08-05","Consultify visual canon","PARTIAL","Neutralize decorative crimson in one visual packet","none","Light and dark visual review passes color canon",m16-partner,OPEN
M16-R2-008,M16,list-surfaces,P2,ui-canon,"Commission campaign and client surfaces use bespoke tables and navigation","Canonical StandardTable and StandardModuleBar surfaces","src/views/partner/PartnerPortalView.tsx","Consultify TRIADA","PARTIAL","Migrate lists in a dedicated UI packet","design review","Representative lists pass density overflow preview and keyboard review",m16-partner,OPEN
M16-R2-009,M16,preview-context,P2,ui-canon,"No canonical preview pane or kebab context menu is present","Client and commission records expose canonical preview and row actions","M16 visual discovery 2026-08-05","Complete MVP IA levels","MISSING","Add preview and context actions after list migration","M16-R2-008","Preview reopen and permission negative controls pass",m16-partner,OPEN
M16-R2-010,M16,formatting,P2,ui-formatting,"Raw ISO timestamps and inconsistent currency formatting remain","Shared date money and locale formatters are used","src/views/partner/PartnerPortalView.tsx","Complete MVP visual formatting","PARTIAL","Replace literals with shared formatters","none","No raw ISO or inconsistent currency strings in screenshots",m16-partner,OPEN
M16-R2-011,M16,earnings-density,P2,ui-density,"Two KPI strips repeat the same earnings values","One authoritative KPI strip","src/views/partner/sections/EarningsSection.tsx","Complete MVP visual density","DUPLICATE_OR_LEGACY","Collapse after money authority decision","M16-R2-003","Single coherent KPI strip renders",m16-partner,OPEN
M16-R2-012,M16,route-family,P2,architecture,"Legacy and V8 route families jointly serve one portal","One canonical route family with bounded compatibility only","server/src/routes/partners.routes.ts; server/src/routes/v8/partner.routes.ts","M16 API contract","DUPLICATE_OR_LEGACY","Complete missing V8 reads then retire legacy arbitration","API contract review","Golden flows use one canonical family and compatibility metrics are zero",m16-partner,OPEN
M16-R2-013,M16,clients-users,P3,dead-code,"Users subsection calls a missing endpoint","Implemented endpoint or removed subsection","M16 route discovery 2026-08-05","M16 Client Access","NOT_CONNECTED","Implement or remove in Round 2","product scope","No reachable control calls API_ROUTE_NOT_FOUND",m16-partner,OPEN
M16-R2-014,REPO,dev-render,P2,dev-tooling,"Origin demo dev-render imports a missing tools session screen","Developer visual harness transforms without overlay","dev-render/main.tsx","Visual QA tooling","BROKEN_TOOLING","Restore the missing screen or remove registration","tooling owner","dev-render build opens every registered module screen",visual-tooling,OPEN
M16-R2-015,M16,partner-tests,P3,test-debt,"Six historical assertions fail identically on origin demo and integration: three locale assumptions and three stale 503 expectations","Tests assert locale-independent copy and current fail-closed authorization semantics","baseline comparison on origin/demo 3f58e5ce7e","Round 2 historical test debt","BASELINE_RED","Update only the stale assertions and keep product behavior unchanged","none","All partner tests pass on base and integrated trees",m16-partner,OPEN
M16-R2-016,M16,mobile,P3,ui-mobile,"390x844 smoke has no horizontal overflow but earnings becomes a long KPI column","Compact usable mobile earnings flow","M16 mobile smoke 2026-08-05","Complete MVP quick mobile smoke","PARTIAL","Polish responsive density after KPI deduplication","M16-R2-011","Core partner flow completes at 390px without excessive stacking",m16-partner,OPEN
M16-R2-017,M16,academy-schema,P2,schema,"Partner certification exam capability remains unavailable on demo","Academy uses the full versioned schema","M16 discovery 2026-08-05","M16 Academy","DEGRADED_SCHEMA","Apply reviewed partner certification migration through governed path","PLAT-R2-001","Academy capability reports FULL and error state is absent",m16-partner,OPEN
M16-R2-018,M16,status-i18n,P3,i18n,"Onboarding chip key was repaired but reachable status namespaces were not exhaustively swept","Every reachable status key resolves in PL and EN","public/locales/en/translation.json; public/locales/pl/translation.json","M16 locale completeness","PARTIAL","Run automated reachable-key audit","none","No raw translation keys in partner screenshots",m16-partner,OPEN
