batch_id,product,slug,role,source_prompt_path,current_version,generation_status,review_decision,prompt_patch_needed,rerender_count,approved_for_use,notes
consultify_11_20_r1,Consultify,17_why_transformation_programs_need_one_source_of_truth,social,Blogs/Consultify/Blog/17_why_transformation_programs_need_one_source_of_truth/image-prompts.md,social_1x1_v4,generated,approved,no,2,yes,"Codex-only account generation introduced a distinct source-of-truth spine metaphor and broke the repetitive tabletop pattern; accepted."
consultify_11_20_r1,Consultify,18_how_to_turn_leadership_decisions_into_owned_initiatives,hero,Blogs/Consultify/Blog/18_how_to_turn_leadership_decisions_into_owned_initiatives/image-prompts.md,hero_16x9_v1,generated,keep_best_available,no,0,yes,"Busy but thesis-aligned and operationally credible enough to keep for now."
consultify_11_20_r1,Consultify,18_how_to_turn_leadership_decisions_into_owned_initiatives,analytical,Blogs/Consultify/Blog/18_how_to_turn_leadership_decisions_into_owned_initiatives/image-prompts.md,analytical_16x9_v2,generated,approved,no,1,yes,"Codex-only account generation produced a clearer handoff-chain metaphor without the old process-slide feel; accepted."
consultify_11_20_r1,Consultify,18_how_to_turn_leadership_decisions_into_owned_initiatives,social,Blogs/Consultify/Blog/18_how_to_turn_leadership_decisions_into_owned_initiatives/image-prompts.md,social_1x1_v2,generated,approved,no,1,yes,"Codex-only account generation produced a distinct sealed-packet handoff metaphor and avoided portrait drift; accepted."
consultify_11_20_r1,Consultify,19_why_transformation_portfolios_fail_without_live_prioritization,hero,Blogs/Consultify/Blog/19_why_transformation_portfolios_fail_without_live_prioritization/image-prompts.md,hero_16x9_v2,generated,approved,no,1,yes,"Strong before-vs-after portfolio prioritization contrast; good production candidate."
consultify_11_20_r1,Consultify,19_why_transformation_portfolios_fail_without_live_prioritization,analytical,Blogs/Consultify/Blog/19_why_transformation_portfolios_fail_without_live_prioritization/image-prompts.md,analytical_16x9_v1,generated,keep_best_available,no,0,yes,"Usable explanatory sequence; still diagrammatic, but clearer and cleaner than most."
consultify_11_20_r1,Consultify,19_why_transformation_portfolios_fail_without_live_prioritization,social,Blogs/Consultify/Blog/19_why_transformation_portfolios_fail_without_live_prioritization/image-prompts.md,social_1x1_v4,generated,approved,no,2,yes,"Codex-only account generation produced a clearer prioritization-rack metaphor with visible movement and stronger distinction; accepted."
consultify_11_20_r1,Consultify,20_how_to_keep_leadership_alignment_after_the_offsite,hero,Blogs/Consultify/Blog/20_how_to_keep_leadership_alignment_after_the_offsite/image-prompts.md,hero_16x9_v2,generated,approved,no,1,yes,"Strong split between offsite discussion and live ongoing alignment system."
consultify_11_20_r1,Consultify,20_how_to_keep_leadership_alignment_after_the_offsite,analytical,Blogs/Consultify/Blog/20_how_to_keep_leadership_alignment_after_the_offsite/image-prompts.md,analytical_16x9_v1,generated,approved,no,0,yes,"Simple and clear enough; one of the better analytical assets in the batch."
consultify_11_20_r1,Consultify,20_how_to_keep_leadership_alignment_after_the_offsite,social,Blogs/Consultify/Blog/20_how_to_keep_leadership_alignment_after_the_offsite/image-prompts.md,social_1x1_v2,generated,approved,no,1,yes,"Codex-only account generation produced a distinct cadence-ring metaphor for continuity after the offsite and improved variety; accepted."
