schema,table,category,family,reason,sourceEvidence,exclusionBasis,ownership
public,ai_agent_plans,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/scripts/a04WorkerClaimContextRealDbProof.ts:234; SQL_INSERT_INTO server/src/services/ai/agentPlannerService.ts:454; SQL_UPDATE server/src/services/ai/agentFolderService.ts:211; SQL_UPDATE server/src/services/ai/agentPlannerService.ts:260; SQL_UPDATE server/src/services/ai/agentPlannerService.ts:279,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_approval_requests,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/dataClassificationService.ts:240; SQL_UPDATE server/src/services/ai/dataClassificationService.ts:297; SQL_UPDATE server/src/services/ai/dataClassificationService.ts:332; SQL_FROM server/src/services/ai/dataClassificationService.ts:271; SQL_FROM server/src/services/ai/dataClassificationService.ts:304,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_audit_log,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public.ai_audit_log ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,ai_audit_logs,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/controllers/ai/AITrainingController.ts:69; SQL_INSERT_INTO server/src/services/aiActionExecutor.ts:1505; SQL_INSERT_INTO server/src/services/aiAuditLogger.ts:152; SQL_UPDATE server/src/services/aiAuditLogger.ts:228; SQL_DELETE_FROM server/src/controllers/ai/AITrainingController.ts:181,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_authoring_audit,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/ai.routes.ts:9416; SQL_INSERT_INTO server/src/routes/ai.routes.ts:9602,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_budgets,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/aiBudgetService.ts:201; SQL_UPDATE server/src/services/aiBudgetService.ts:278; SQL_UPDATE server/src/services/aiBudgetService.ts:295; SQL_UPDATE server/src/services/aiBudgetService.ts:372; SQL_UPDATE server/src/services/aiCostControlService.ts:297,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_chat_run_events,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/chatTraceService.ts:221,,"{""kind"":""FOREIGN_KEY_PATH"",""path"":[{""column"":""run_id"",""parentColumn"":""id"",""parentSchema"":""public"",""parentTable"":""ai_chat_runs""}]}"
public,ai_chat_runs,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/chatTraceService.ts:122; SQL_UPDATE server/src/services/ai/chatTraceService.ts:150; SQL_UPDATE server/src/services/ai/chatTraceService.ts:185,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_context_snapshots,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/contextPackService.ts:148; SQL_FROM server/src/services/ai/contextPackService.ts:180,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_contexts,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/context.routes.ts:62; SQL_UPDATE server/src/routes/context.routes.ts:110; SQL_DELETE_FROM server/src/routes/context.routes.ts:140; SQL_FROM server/src/routes/context.routes.ts:23; SQL_FROM server/src/routes/context.routes.ts:41,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_conversation_context,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.ai_conversation_context reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,ai_conversations,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_FROM server/src/routes/dataExport.routes.ts:361,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_cost_alerts_sent,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/aiCostAlertsService.ts:133; SQL_FROM server/src/services/ai/aiCostAlertsService.ts:120,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_cost_tracking,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public.ai_cost_tracking ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,ai_cost_usage,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/cost-monitoring.service.ts:133,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_data_access_log,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public.ai_data_access_log ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,ai_data_classifications,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/dataClassificationService.ts:77,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_decision_audit_log,EXPORT,AUDIT_COMPLIANCE,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/decisionAuditService.ts:100; SQL_DELETE_FROM server/src/services/ai/decisionAuditService.ts:250; SQL_FROM server/src/services/ai/decisionAuditService.ts:134; SQL_FROM server/src/services/ai/decisionAuditService.ts:185,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_decision_outcomes,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/routes/ai/deep-thinking.routes.ts:125; SQL_INSERT_INTO server/src/services/ai/decisionMemoryService.ts:87; SQL_UPDATE server/src/services/ai/decisionMemoryService.ts:128; SQL_UPDATE server/src/services/ai/decisionMemoryService.ts:306; SQL_FROM server/src/routes/ai/deep-thinking.routes.ts:184,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_deep_thinking_confirms,EXCLUDE_SECURITY,ACTIVE_SEMANTIC_POLICY_MISSING,"The relation has a structural tenant path but no active semantic writer or reviewed privacy contract, so export fails closed.",organization-export-semantic-source-index.e1.json::public.ai_deep_thinking_confirms ACTIVE_SEMANTIC_SOURCE_MISSING,ACTIVE_SEMANTIC_POLICY_MISSING,{}
public,ai_deep_thinking_metrics,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/confidenceCalibrationService.ts:137; SQL_INSERT_INTO server/src/services/ai/deepThinkingMetricsService.ts:23; SQL_UPDATE server/src/services/ai/confidenceCalibrationService.ts:178; SQL_DELETE_FROM server/src/routes/ai/deep-thinking.routes.ts:414; SQL_FROM server/src/routes/ai/deep-thinking.routes.ts:348,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_dismissed_nudges,EXCLUDE_SECURITY,NO_PROVABLE_TENANT_BOUNDARY,"The live schema proves no organization discriminator or foreign-key path, so exporting rows could cross tenant boundaries.",staging-schema-inventory.json::public.ai_dismissed_nudges reviewed ownership graph has no tenant path,NO_PROVABLE_TENANT_BOUNDARY,{}
public,ai_dlp_rules,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/advancedDlpService.ts:168; SQL_UPDATE server/src/services/ai/advancedDlpService.ts:218; SQL_DELETE_FROM server/src/services/ai/advancedDlpService.ts:225; SQL_FROM server/src/services/ai/advancedDlpService.ts:199; SQL_FROM server/src/services/ai/advancedDlpService.ts:233,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_doc_usage_log,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/documentGovernance.ts:158,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_domain_playbooks,EXPORT,OPERATIONS,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/finalBatchService.ts:595; SQL_UPDATE server/src/services/finalBatchService.ts:682; SQL_FROM server/src/services/finalBatchService.ts:617; SQL_FROM server/src/services/finalBatchService.ts:623; SQL_FROM server/src/services/finalBatchService.ts:628,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_drafts,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/ai/draftService.ts:18; SQL_UPDATE server/src/services/ai/draftService.ts:72; SQL_DELETE_FROM server/src/services/ai/draftService.ts:90; SQL_FROM server/src/services/ai/draftService.ts:42; SQL_FROM server/src/services/ai/draftService.ts:124,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_eval_auto_triggers,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_UPDATE server/src/routes/ai-prompts.routes.ts:386; SQL_FROM server/src/routes/ai-prompts.routes.ts:367,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
public,ai_eval_datasets,EXPORT,PLATFORM_AI,The live schema proves this tenant-owned relation through an exact organization discriminator or foreign-key path.,SQL_INSERT_INTO server/src/services/aiGovernanceService.ts:391; SQL_UPDATE server/src/services/aiGovernanceService.ts:423; SQL_FROM server/src/services/ai/evalHarnessService.ts:204; SQL_FROM server/src/services/aiGovernanceService.ts:363; SQL_FROM server/src/services/aiGovernanceService.ts:376,,"{""column"":""organization_id"",""kind"":""DIRECT_COLUMN""}"
