atomic_id,table_id,module,surface,area,checkpoint_id,severity,observed,expected,recommendation,evidence_path,verified_status,evidence_gate_status
T08-PREVIEW-P13,T08,My Work,Run agent,PREVIEW,P13,P1,No relations region is present,Relations or No relations,Add the canonical relations state,tables/T08/evidence/T08__my-work-run-agent__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T08-PREVIEW-P25,T08,My Work,Run agent,PREVIEW,P25,P1,Preview contains metadata and step labels but no explanatory Details narrative,Details prose 80–140 words,Add concise process purpose/context,tables/T08/evidence/T08__my-work-run-agent__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-KEBAB-K18,T09,Interview,Inbox,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T09/evidence/T09__interview-inbox__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-KEBAB-K19,T09,Interview,Inbox,KEBAB,K19,P1,All four items h=28px,Items h=36px,Use h-9 rows,tables/T09/evidence/T09__interview-inbox__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-MENU_1_2_3-M04,T09,Interview,Inbox,MENU_1_2_3,M04,P1,Four tabs include circled numeric counters in their labels,Menu 2 labels are stable navigation names,Remove counters from navigation labels,tables/T09/evidence/T09__interview-inbox__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-MENU_1_2_3-M16,T09,Interview,Inbox,MENU_1_2_3,M16,P1,Clear is text-only,Clear includes X,Add X icon,tables/T09/evidence/T09__interview-inbox__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-PPM-C12,T09,Interview,Inbox,PPM,C12,P1,PPM inherits 160px width and 28px items,Canonical shared graphics,Fix shared component,tables/T09/evidence/T09__interview-inbox__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-PREVIEW-P25,T09,Interview,Inbox,PREVIEW,P25,P1,Details meter reports about 14 words,Details 80–140 words,Generate useful canonical-length context,tables/T09/evidence/T09__interview-inbox__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-PREVIEW-P30,T09,Interview,Inbox,PREVIEW,P30,P1,"Preview exposes AI actions, linked session, continue/open and three delay buttons",At most six direct contextual actions,Keep six direct actions and move overflow to menu,tables/T09/evidence/T09__interview-inbox__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T09-TABLE-T27,T09,Interview,Inbox,TABLE,T27,P1,TYPE and NAME repeat the identical interview title in every observed row,Columns provide distinct useful information,Use a real type/category value or remove the redundant column,tables/T09/evidence/T09__interview-inbox__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-KEBAB-K18,T10,Interview,Sessions or Processes,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T10/evidence/T10__interview-sessions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-KEBAB-K19,T10,Interview,Sessions or Processes,KEBAB,K19,P1,Open preview and Archive are 28px; Delete is 46px,Uniform 36px items,Use uniform 36px rows,tables/T10/evidence/T10__interview-sessions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-KEBAB-K20,T10,Interview,Sessions or Processes,KEBAB,K20,P1,Delete includes the second line Archive first,Disabled action is lighter without explanatory copy,Remove inline explanation and retain only lighter disabled styling,tables/T10/evidence/T10__interview-sessions__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-MENU_1_2_3-M05,T10,Interview,Sessions or Processes,MENU_1_2_3,M05,P1,"Inbox, Assigned, Templates, Insights and Initiatives include circled counts",Menu 2 tabs contain no counters,Remove counters from navigation labels,tables/T10/evidence/T10__interview-sessions__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-MENU_1_2_3-M16,T10,Interview,Sessions or Processes,MENU_1_2_3,M16,P1,Bulk Clear is text-only,Clear includes X,Add X icon,tables/T10/evidence/T10__interview-sessions__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-MENU_1_2_3-M26,T10,Interview,Sessions or Processes,MENU_1_2_3,M26,P0,Table remains 1304px wide and exceeds viewport,No clipping at physical 1280x720,Use responsive zero-sum columns or explicit reachable overflow,tables/T10/evidence/T10__interview-sessions__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-PPM-C12,T10,Interview,Sessions or Processes,PPM,C12,P1,PPM inherits 160px width and 28/46px rows,Canonical shared graphics,Fix shared component,tables/T10/evidence/T10__interview-sessions__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-PREVIEW-P29,T10,Interview,Sessions or Processes,PREVIEW,P29,P1,Assignee/Template/Org values appear without canonical Relations card,Relations card or No relations,Use the 64px Relations region with pills or No relations,tables/T10/evidence/T10__interview-sessions__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T10-TABLE-T08,T10,Interview,Sessions or Processes,TABLE,T08,P1,Observed row heights vary from 56.5px to 97px,Rows of the same variant have stable height,Constrain long cells to the documented two-line maximum and stable row variant,tables/T10/evidence/T10__interview-sessions__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_CONFIRMED
T11-KEBAB-K18,T11,Interview,Assigned,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T11/evidence/T11__interview-assigned__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-KEBAB-K19,T11,Interview,Assigned,KEBAB,K19,P1,All four items h=28px,Items h=36px,Use h-9 items,tables/T11/evidence/T11__interview-assigned__KEBAB__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-MENU_1_2_3-M05,T11,Interview,Assigned,MENU_1_2_3,M05,P1,Five navigation tabs embed circled counters,No counters in Menu 2 tabs,Remove counters,tables/T11/evidence/T11__interview-assigned__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
