package_id,status,implementation_owner,qa_owner,base_sha,candidate_sha,claimed_files,closed_atomic,total_atomic,technical_gate,self_review_gate,qa_pass1,qa_pass2,retries,blocker,next_action,updated_at
R15,ACCEPTED_PARTIAL,CLAUDE-R15-SONNET5,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,src/components/Results/ResultsHub.tsx;src/components/Results/ResultsScorecardsTable.tsx;src/components/Results/ResultsRoiReviewsTable.tsx;src/components/Results/ResultsOkrSetsTable.tsx;src/components/Results/__tests__/ResultsHub.smoke.test.tsx;src/contracts/tableSurface/surfaceRegister.ts;src/contracts/tableSurface/__tests__/surfaceRegister.test.ts;tests/components/Results/ResultsScorecardsTable.t36.test.tsx;tests/components/Results/ResultsRoiReviewsTable.t37.test.tsx;tests/components/Results/ResultsOkrSetsTable.t38.test.tsx,3,18,PASS,PASS,PASS,PASS,0,Exact-candidate visual/live proof pending; PPM parity is structural rather than independently right-click-tested; ResultsHub.v8-runtime-strip has a proven pre-existing 13/26 failure baseline unrelated to R15,R15 technical closeout accepted partial: T36-T38 use real Goal ROIInitiativeItem and Objective APIs; TABLE/PREVIEW/KEBAB resolved; M14 x3 ACCEPTED_NA_CONTRACT with selection none and no truthful bulk endpoints; author 288/288 PASS; Codex independently reran 181/181 scoped tests and diff check PASS; proceed to next safe package,2026-08-08T04:13:00+02:00
R16,BLOCKED_OWNERSHIP,,,,,,0,7,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for shared components,Start after R01-R04 ACCEPTED,
R17,BLOCKED_OWNERSHIP,,,,,,0,8,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for R04,Start after R04 ACCEPTED,
R18,ACCEPTED_PARTIAL,R18-MATERIALS-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,server/src/services/v8/artifactRegistryService.ts;src/components/ReportsAndPresentations/materialFileFormat.ts;types.ts;useRapData.ts;OutputsAggregateTabContent.tsx;ReportsTabContent.tsx;scoped frontend and backend tests,0,2,PASS,PASS,PASS,PENDING,2,Visual G3/G4 and deployed data verification pending,Deploy candidate then verify T44 and T45 populated and empty at 1440x900 and 1280x720 including format sort filter search and geometry,2026-08-06T20:18:00+02:00
R19,BLOCKED_OWNERSHIP,,,,,,0,5,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Domain files overlap unseparated accepted-partial R02 and R04 changes,Freeze current accepted-partial changes in a known candidate SHA or isolated worktree then start R19 with shared components read-only,2026-08-06T20:29:00+02:00
R20,BLOCKED_OWNERSHIP,,,,,,0,58,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for Wave 1 and P0 package,Start after dependencies ACCEPTED,
R21,BLOCKED_OWNERSHIP,,,,,,0,48,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for Wave 1 and P0 package,Start after dependencies ACCEPTED,
R22,ACCEPTED_PARTIAL,R22-T16-T17-T18-T19-T20-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,src/components/DiscoveryTools/ToolSessionPreviewV3.tsx;src/components/DiscoveryTools/toolSessionDetailsBuilder.ts;src/components/DiscoveryTools/__tests__/ToolSessionPreviewV3.details.test.tsx;src/components/Discovery/DiscoveryToolsHub.tsx;src/components/Discovery/outputPreviewDetails.ts;src/components/Discovery/__tests__/DiscoveryToolsHub.outputPreviewDetails.t17.test.tsx;src/components/Discovery/reportPreviewDetails.ts;src/components/Discovery/__tests__/DiscoveryToolsHub.reportPreviewDetails.t18.test.tsx;src/components/Discovery/toolInitiativePreviewDetails.ts;src/components/Discovery/__tests__/DiscoveryToolsHub.initiativePreviewDetails.t19.test.tsx;src/components/assessment/AssessmentHub.tsx;src/components/assessment/assessmentPreviewDetails.ts;tests/components/assessment/AssessmentHub.previewDetails.t21.test.tsx;tests/components/assessment/AssessmentHub.menu3BulkRow.t20.test.tsx;tests/components/assessment/AssessmentHub.rowMenu.t20.test.tsx,0,47,PASS,PASS,PASS,NOT_STARTED,7,Live visual gates T16 plus live T17 T18 T19 and T20 previews/menu/table including T08 pixel confirmation pending at 1440x900 and 1280x720,Technical QA accepted T16-T19 and all T20 atoms; T20 P01/P25/P29/T08/T12 accepted as existing canonical coverage; T20-M14 accepted after independent 77/77 scoped tests lint 0 errors and typecheck PASS; T20-KEBAB-K10 accepted after independent 83/83 scoped tests with negative control lint 0 errors and typecheck PASS; T20-KEBAB-K18/K19 and PPM-C12 accepted as shared RowActionsMenu geometry and identical kebab/PPM renderer PASS/DUPLICATE; only live visual gates remain,2026-08-07T09:33:30+02:00
R23,ACCEPTED_PARTIAL,R23-T21-T23-T24-P25-ASSESSMENT-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,src/components/assessment/AssessmentHub.tsx;src/components/assessment/assessmentPreviewDetails.ts;tests/components/assessment/AssessmentHub.previewDetails.t21.test.tsx;tests/components/assessment/AssessmentHub.previewDetails.t23.test.tsx;tests/components/assessment/AssessmentHub.previewDetails.t24.test.tsx;tests/components/assessment/AssessmentHub.menu3BulkRow.t20.test.tsx,0,24,PASS,PASS,PASS,NOT_STARTED,3,Live visual gates T21 T23 and T24 remain pending at 1440x900 and 1280x720 on an exact deployed candidate; demo SHA 97a42e810bc1 is not local candidate proof,Technical QA accepted T21 T23-PREVIEW-P25 and T24-PREVIEW-P25 after accepted five-surfaces/processes reconciliation; independent scoped Vitest 155/155; lint 0 errors with inherited warnings; author full typecheck exit 0; scoped diff check PASS; List Reports and Initiatives Details use factual prose; future Reports/Initiatives M14 selection/Menu3 is separate,2026-08-07T15:03:00+02:00
R24,ACCEPTED_PARTIAL,R24-T25-P25-INITIATIVES-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,src/components/Initiatives/InitiativesHub.tsx;src/components/Initiatives/initiativePreviewDetails.ts;src/components/Initiatives/__tests__/InitiativesHub.previewDetails.t25.test.tsx,0,8,PASS,PASS,PASS,NOT_STARTED,0,Live visual gate T25 populated and empty pending at 1440x900 and 1280x720,Technical QA accepted: 120/120 tests plus full scalar owner dependency credential and JSON matrices; capture populated and empty states at both viewports,2026-08-07T00:21:00+02:00
R25,ACCEPTED_PARTIAL,R25-K05-EXECUTION-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,src/components/Execution/ExecutionHub.tsx;src/components/Execution/__tests__/ExecutionHub.reportingMenu.smoke.test.tsx,0,15,PASS,PASS,PASS,PENDING,0,Live visual T34 kebab and PPM checks pending at two viewports,Deploy candidate and capture T34 kebab and PPM at 1440x900 and 1280x720 with controlled test data,2026-08-06T21:40:00+02:00
R26,SUPERSEDED_BY_R15,R26-M05-RESULTS-IMPLEMENTER,CODEX-INDEPENDENT-QA,4610ddb7de335071921435d265bb499ac2ac51e2,,src/components/Results/ResultsHub.tsx;src/components/Results/__tests__/ResultsHub.smoke.test.tsx,0,3,PASS,PASS,PASS,PENDING,0,"R26's own claimed_files (ResultsHub.tsx + one smoke test) never produced an independent diff beyond what R15 (CLAUDE-R15-SONNET5) already built and closed 18/18 for T36-T38. R26 owns 3 separate, genuinely unaddressed P1 atoms (T36/T37/T38 MENU_1_2_3-M05 nav-counter removal) that are unrelated to the registry work R15 completed.",Retire R26 as a registry-owning package (superseded by R15). Its 3 real M05 atoms remain OPEN_CONFIRMED and can be picked up as ordinary P1 polish under R15's or R26's original ownership; not part of the non-production RC.,2026-08-06T21:07:00+02:00
R27,BLOCKED_OWNERSHIP,,,,,,0,23,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for Wave 1 and P0 package,Start after dependencies ACCEPTED,
R28,BLOCKED,,,,,,0,10,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for Wave 1 and P0 package,Start after dependencies ACCEPTED,
R40,BLOCKED,,,,,,0,0,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,0,Waiting for all implementation packages,Run full regression after all dependencies ACCEPTED,
