category	file	test	root_cause	first_failure_message
d	tests/acceptance/chat-007-fixes.realdb.test.ts	CHAT-07 fix package — independent read-back, create-time idempotency, table deep link FIX 3 (table deep link): a Table handoff returns the REAL /tabele?artifactId=<id> route, never the dead /table-studio link	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"Canvas proposal approval requires additional capability","code":"CANVAS_PROPOSAL_CAPABILITY_REQUIRED","recoverable":true,"requiredCapability":"canvas.output.table"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/chat-m01-006-citation-verifier-table-map.realdb.test.ts	M01-006 real-DB — citationVerifier table map (document/knowledge -> knowledge_docs) reports verified for a real knowledge_docs row owned by the caller org	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 'broken' to be 'verified' // Object.is equality
d	tests/acceptance/chat-m01-006-citation-verifier-table-map.realdb.test.ts	M01-006 real-DB — citationVerifier table map (document/knowledge -> knowledge_docs) reports no_access (not broken/verified) for a real knowledge_docs row owned by a DIFFERENT org	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 'broken' to be 'no_access' // Object.is equality
d	tests/acceptance/chat-m01-006-citation-verifier-table-map.realdb.test.ts	M01-006 real-DB — citationVerifier table map (document/knowledge -> knowledge_docs) sourceType "knowledge" resolves against the same real knowledge_docs table	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 'broken' to be 'no_access' // Object.is equality
d	tests/acceptance/chat-m01-006-citation-verifier-table-map.realdb.test.ts	M01-006 real-DB — citationVerifier table map (document/knowledge -> knowledge_docs) regression guard: system_doc with a real NULL-organization_id knowledge_documents row stays verified (not no_access)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 'partial' to be 'verified' // Object.is equality
d	tests/acceptance/chat-m01-p04b-fragment-anchor-persistence.realdb.test.ts	M01-P04B — fragment anchor + source status survive fresh reopen persists fragmentIndex and status on citations through a fresh conversation read	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"error":"No permission to add messages to this team conversation","reason":"You are not a member of this organization.","role":"none"}: expected 403 to be 201 // Object.is equality
d	tests/acceptance/demoCleanup.e2e.test.ts	Acceptance: demoService.cleanupExpiredDemos (real runtime) DRY-RUN lists exactly the 2 expired candidates and deletes NOTHING	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [] to deeply equal [ …(2) ]
d	tests/acceptance/demoCleanup.e2e.test.ts	Acceptance: demoService.cleanupExpiredDemos (real runtime) ENABLED deletes exactly the 2 candidates, keeps fresh / whitelisted / human-owned	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected +0 to be 2 // Object.is equality
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: DECK — Prezentacje (real runtime) creates a deck via API, persists it, autosaves deck_json, and reads it back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 403 to be 201 // Object.is equality
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: WORD — Document Studio (real runtime) generates a document (deterministic planner), persists a wave5_artifacts row, autosaves TipTap content, and reads it back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [] to have a length of 1 but got +0
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: TERESA — twórz-z-czatu (real service, real LLM, real DB) note: 3x generateDeliverable({type:'note'}) materializes a real notebook_pages row + a real EvidenceContract (HP-16 domknięcie)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 0 to be greater than 0
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: TERESA — twórz-z-czatu (real service, real LLM, real DB) mindmap: 3x generateDeliverable({type:'mindmap'}) materializes a real my_ideas/my_idea_maps row + a real EvidenceContract	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 0 to be greater than 0
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: ASSESSMENT — /api/assessment-workflow-v2 (real runtime) creates an assessment via API, persists it, and reads it back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [] to have a length of 1 but got +0
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: INTERVIEW — /api/interview (real runtime) creates a session via API, persists it, and reads it back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected 403 to be 201 // Object.is equality
d	tests/acceptance/docs-teresa.e2e.test.ts	Acceptance: INTERVIEW — /api/interview (real runtime) marks the session completed, creates an insight from it, persists it, and reads it back	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: no session id from prior test — session create must have failed: expected undefined to be truthy
d	tests/acceptance/feedback-sla-security-alerts.e2e.test.ts	T2-F5 · runFeedbackSlaSweepOnce — overdue ticket escalates to Slack #cf-alerts creates a real ticket, backdates its due_at, sweeps, and proves a Slack #cf-alerts payload + DB escalation record	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected +0 to be 1 // Object.is equality
d	tests/acceptance/feedback-sla-security-alerts.e2e.test.ts	T2 · Security alerts (brute-force, crash) reach Slack #cf-alerts crash alert: the exact sendSystemAlert() shape fireCrashAlert() uses (index.ts) reaches Slack #cf-alerts as CRITICAL	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected undefined to be truthy
b	tests/acceptance/fin-003-004-case-scenario-lifecycle.e2e.test.ts	FIN-03/FIN-04 — Investment Case + Scenario/Baseline lifecycle (real Postgres, real router) test 4b: retried approve (save version) with the same Idempotency-Key does not create a duplicate version row	Test oczekuje powodzenia wycofanego writera Finance, który poprawnie zwraca 410.	AssertionError: expected 410 to be 200 // Object.is equality
b	tests/acceptance/fin-003-004-case-scenario-lifecycle.e2e.test.ts	FIN-03/FIN-04 — Investment Case + Scenario/Baseline lifecycle (real Postgres, real router) test 4b-concurrent: Promise.all approve with one key creates one version and replays the winner	Test oczekuje powodzenia wycofanego writera Finance, który poprawnie zwraca 410.	AssertionError: expected 410 to be 200 // Object.is equality
b	tests/acceptance/fin-003-004-case-scenario-lifecycle.e2e.test.ts	FIN-03/FIN-04 — Investment Case + Scenario/Baseline lifecycle (real Postgres, real router) test 5: a stale expectedVersion is rejected 409 VERSION_CONFLICT on both PUT and approve, never overwrites	Test oczekuje powodzenia wycofanego writera Finance, który poprawnie zwraca 410.	AssertionError: expected 410 to be 200 // Object.is equality
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff preview: draft model is ineligible, approved model is eligible with real DB data	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff confirm: creates candidate + receipt, retry is idempotent (same candidateId, one row)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 201 // Object.is equality
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff lineage read-back 404s before any handoff exists	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 404 // Object.is equality
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff concurrency: 5 concurrent confirms for the same model create exactly one candidate	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [ 403, 403, 403, 403, 403 ] to deeply equal [ 200, 200, 200, 200, 201 ]
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff TOCTOU: model approved at preview time, archived before confirm -> confirm fails, no candidate	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	TypeError: Cannot read properties of undefined (reading 'eligible')
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff cross-tenant: org B can never preview, confirm, or reopen org A model, no data leak	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-investment-case-candidate-handoff.e2e.test.ts	FIN-06 — investment case (financial_models) candidate handoff neutralized POST /analyses/:analysisId/initiatives never creates an Initiative, regardless of the funnel flag	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 410 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) preview: not-ready pack -> eligible:false; ready pack -> eligible:true with real-DB data	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) confirm: creates candidate + receipt; retry is idempotent (same candidateId, no duplicate rows)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 201 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) confirm rejects a not-ready pack (409 SOURCE_NOT_ELIGIBLE, reason NOT_READY)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 409 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) reopen: unknown/never-confirmed pack -> 404 NO_CANDIDATE_HANDOFF	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 404 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) concurrent confirm calls on the same pack never create a duplicate	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: [{"success":false,"code":"ORG_MEMBERSHIP_REVOKED"},{"success":false,"code":"ORG_MEMBERSHIP_REVOKED"},{"success":false,"code":"ORG_MEMBERSHIP_REVOKED"},{"success":false,"code":"ORG_MEMBERSHIP_REVOKED"},{"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}]: expected [ 403, 403, 403, 403, 403 ] to deeply equal [ 200, 200, 200, 200, 201 ]
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) cross-tenant: org B cannot preview, confirm, or reopen org A's pack	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) TOCTOU: pack becomes non-ready between preview and confirm -> confirm re-checks inside the lock and fails	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) Blocker 1: real per-type statement counts (P&L x1, BS x1, CF x0) direct DB read-back matches the preview exactly	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-statement-pack-candidate-handoff.e2e.test.ts	FIN-06 — statement pack candidate handoff (golden flow, idempotency, concurrency, tenant isolation, TOCTOU) Blocker 1: a genuinely broken required schema fails closed, never shows a fake eligible P&L x0/BS x0/CF x0 preview	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be greater than or equal to 500
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff preview: unknown recommendation is ineligible, known recommendation is eligible with real DB data	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff preview: a recommendation WITH real risks + a valuation WITH real assumptions carries them over verbatim	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff confirm: creates candidate + receipt, retry is idempotent (same candidateId, one row)	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 201 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff lineage read-back 404s before any handoff exists	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 404 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff concurrency: 5 concurrent confirms for the same recommendation create exactly one candidate	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: expected [ 403, 403, 403, 403, 403 ] to deeply equal [ 200, 200, 200, 200, 201 ]
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff cross-tenant: org B can never preview, confirm, or reopen org A recommendation, no data leak	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff convert-to-initiative route creates a Candidate through the real HTTP path, never a bare Initiative	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {}: expected 500 to be 201 // Object.is equality
d	tests/acceptance/fin-006-valuation-recommendation-candidate-handoff.e2e.test.ts	FIN-06 — valuation recommendation candidate handoff Blocker 2 / scenario A: a DRAFT valuation with an existing advisory is never eligible	NODE_ENV=test wybrał mock DB, bo job nie ustawiał RUN_DB_TESTS=1 i MOCK_DB=false; ten sam nazwany test zniknął po wymuszeniu realnego PG.	AssertionError: {"success":false,"code":"ORG_MEMBERSHIP_REVOKED"}: expected 403 to be 200 // Object.is equality
